filepath,country,model_version,class_rank,class_uuid,kingdom,tax1,tax2,tax3,tax4,tax5,common_name,score
input/semana30/camera08/IMG_0020.JPG,GT,4.0.1a,5,20e0c8d9-c445-44b5-87fc-d5bb9724e874,mammalia,carnivora,viverridae,paradoxurus,hermaphroditus,common palm civet,,0.007
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,1,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.9095
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,2,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0321
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,3,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.024
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0088
input/semana30/camera08/IMG_0021.JPG,GT,4.0.1a,5,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0031
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.8853
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.0511
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0332
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.01
input/semana30/camera08/IMG_0022.JPG,GT,4.0.1a,5,20e0c8d9-c445-44b5-87fc-d5bb9724e874,mammalia,carnivora,viverridae,paradoxurus,hermaphroditus,common palm civet,,0.004
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.3749
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.2698
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.1458
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,4,5acf63fb-339d-42b1-af7e-95f6151ae5fb,mammalia,cetartiodactyla,tayassuidae,pecari,tajacu,collared peccary,,0.0508
input/semana30/camera08/IMG_0023.JPG,GT,4.0.1a,5,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0317
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.7999
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,2,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.1603
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0203
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0097
input/semana30/camera08/IMG_0024.JPG,GT,4.0.1a,5,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0067
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,1,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.6477
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,2,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.2844
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,3,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.0266
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,4,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0213
input/semana30/camera08/IMG_0025.JPG,GT,4.0.1a,5,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0061
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,1,4ac36fff-912b-467a-8dab-95ee49d26787,mammalia,didelphimorphia,didelphidae,didelphis,marsupialis,common opossum,,0.7591
