filepath,country,model_version,detection_index,category,label,conf,bbox_x,bbox_y,bbox_w,bbox_h
input/semana30/camera08/IMG_0076.JPG,GT,4.0.1a,2,1,animal,0.0289,0.564,0.9008,0.1194,0.0549
input/semana30/camera08/IMG_0076.JPG,GT,4.0.1a,3,1,animal,0.0169,0.9799,0.5569,0.0201,0.1772
input/semana30/camera08/IMG_0077.JPG,GT,4.0.1a,1,1,animal,0.9709,0.7887,0.5185,0.2076,0.4001
input/semana30/camera08/IMG_0078.JPG,GT,4.0.1a,1,1,animal,0.0178,0.9762,0.5635,0.0238,0.2011
input/semana30/camera08/IMG_0081.JPG,GT,4.0.1a,1,1,animal,0.0914,0.9795,0.4563,0.0205,0.2123
input/semana30/camera08/IMG_0082.JPG,GT,4.0.1a,1,1,animal,0.0157,0.9855,0.4835,0.0145,0.1825
input/semana30/camera08/IMG_0083.JPG,GT,4.0.1a,1,1,animal,0.4676,0.9256,0.4418,0.0744,0.3525
input/semana30/camera08/IMG_0083.JPG,GT,4.0.1a,2,1,animal,0.0582,0.9252,0.3796,0.0748,0.2487
input/semana30/camera08/IMG_0084.JPG,GT,4.0.1a,1,1,animal,0.7955,0.9561,0.4663,0.0439,0.2163
input/semana30/camera08/IMG_0085.JPG,GT,4.0.1a,1,1,animal,0.9259,0.4777,0.6025,0.1354,0.1713
input/semana30/camera08/IMG_0086.JPG,GT,4.0.1a,1,1,animal,0.9235,0.4836,0.5721,0.119,0.2011
input/semana30/camera08/IMG_0087.JPG,GT,4.0.1a,1,1,animal,0.8808,0.4676,0.5536,0.2545,0.2295
input/semana30/camera08/IMG_0088.JPG,GT,4.0.1a,1,1,animal,0.8684,0.7831,0.705,0.1339,0.1396
input/semana30/camera08/IMG_0088.JPG,GT,4.0.1a,2,1,animal,0.0133,0.6964,0.707,0.2225,0.1858
input/semana30/camera08/IMG_0089.JPG,GT,4.0.1a,1,1,animal,0.9281,0.7842,0.582,0.0964,0.1435
input/semana30/camera08/IMG_0090.JPG,GT,4.0.1a,1,1,animal,0.8607,0.7902,0.5787,0.0833,0.1415
input/semana30/camera08/IMG_0092.JPG,GT,4.0.1a,1,1,animal,0.0135,0.4687,0.6806,0.1187,0.0728
input/semana30/camera08/IMG_0093.JPG,GT,4.0.1a,1,1,animal,0.6027,0.7612,0.5317,0.0439,0.129
input/semana30/camera08/IMG_0093.JPG,GT,4.0.1a,2,1,animal,0.0186,0.7987,0.6799,0.0811,0.1243
input/semana30/camera08/IMG_0093.JPG,GT,4.0.1a,3,1,animal,0.0156,0.4602,0.6799,0.112,0.0754
input/semana30/camera08/IMG_0095.JPG,GT,4.0.1a,1,1,animal,0.1244,0.6749,0.6726,0.1652,0.2705
input/semana30/camera08/IMG_0096.JPG,GT,4.0.1a,1,1,animal,0.2019,0.6622,0.6839,0.1756,0.248
